indices,sc_gids,state,total_land_km2,avg_dist_trans_km,avg_cf_dc,center_lat,center_lon,score,h5_index,h5_gid,h5_dist_km
"[12918, 12919, 13074, 13075]","[13179, 13180, 13344, 13345]",Rajasthan,132.6375,0.3130188395,0.1786818625,26.701785715,71.45042190999999,0.9993616712478737,6832,64650.0,2.204721713409614
"[12920, 12921, 13076, 13077]","[13181, 13182, 13346, 13347]",Rajasthan,132.47549999999998,1.2673987875,0.17899147249999997,26.70919011,71.56610409250001,0.9975137363362909,7169,66126.0,1.0337629158683976
"[24756, 24757, 24927, 24928]","[25234, 25235, 25409, 25410]",Gujarat,129.7134,7.526347474249999,0.1798357625,23.037433825,70.2888385725,0.9764273277424217,2615,45374.0,2.178561106155578
"[24476, 24477, 24608, 24609]","[24948, 24949, 25083, 25084]",Gujarat,121.55669999999999,9.316362541,0.179303005,23.14852729,70.3923510575,0.9315302506876149,2903,46852.0,2.2113417312262253
"[2354, 2355, 2444, 2445]","[2404, 2405, 2496, 2497]",Jammu & Kashmir,132.7104,161.97749625,0.20667318499999998,34.854611,79.1380456975,0.8315002279337347,91879,188842.0,0.6699263070167571
"[2446, 2447, 2529, 2530]","[2498, 2499, 2582, 2583]",Jammu & Kashmir,132.2568,168.80308730000002,0.2095633925,34.8047290425,79.2648236175,0.8220035953729361,93628,191055.0,1.8436911654157022
"[45888, 45889, 45910, 45911]","[46742, 46743, 46765, 46766]",Kerala,76.0428,6.037811059250001,0.172008985,9.4584960965,76.45051737749999,0.6948140713419493,53107,144693.0,0.29223221920865494
"[45936, 45937, 45959, 45960]","[46792, 46793, 46816, 46817]",Kerala,57.890699999999995,1.4764990005,0.17223447749999998,9.3540703695,76.45285536499999,0.6037918498642596,53105,144691.0,1.7497764088738774
"[14696, 14697, 14889, 14890]","[14989, 14990, 15186, 15187]",Assam,67.5216,7.51276822125,0.15578885750000002,26.326427985,92.0327889025,0.6483218017056671,146539,396741.0,1.5721460875388606
"[15698, 15699, 15918, 15919]","[16004, 16005, 16225, 16226]",Assam,66.3957,21.510527595,0.15180689249999998,26.151222635,90.3440544375,0.627814003523137,144345,369431.0,2.5066012030505185
"[7476, 7477, 7561, 7562]","[7630, 7631, 7718, 7719]",Haryana,67.0356,12.2789521375,0.1655301775,29.049800615000002,75.48922222499999,0.6407974773798829,40270,129652.0,0.8435046145630087
"[7749, 7750, 7845, 7846]","[7913, 7914, 8011, 8012]",Haryana,36.5553,2.9898179297500005,0.1663419375,28.89626662,75.55792682250001,0.4896528190940428,41494,131124.0,2.9218990089559775
"[39483, 39484, 39564, 39565]","[40240, 40241, 40323, 40324]",Andhra Pradesh,57.70439999999999,14.285260854999999,0.1691219,16.437778837499998,81.43424989249999,0.5894787198683288,112226,225292.0,1.0489081658966048
"[42542, 42543, 42594, 42595]","[43355, 43356, 43408, 43409]",Andhra Pradesh,50.4144,2.8681847077500002,0.17248837,13.768114195,80.1189495275,0.5628990622900029,102639,203829.0,2.6167030935269078
"[24885, 24886, 25032, 25033]","[25363, 25364, 25514, 25515]",Tripura,57.7287,32.3438094125,0.1551672475,23.227641972499995,91.63906273250001,0.5708131883062861,145845,390762.0,1.8170665742944134
"[22980, 22981, 23138, 23139]","[23416, 23417, 23576, 23577]",Tripura,51.151500000000006,5.91884521025,0.15439585,23.8402105125,91.85041471,0.5636130941280735,146191,393729.0,1.9329229271174504
"[8905, 8906, 9030, 9031]","[9089, 9090, 9216, 9217]",Arunachal Pradesh,51.678000000000004,2.4093945469999998,0.1459985275,27.921104212499998,96.161990155,0.5700431970903769,156830,463938.0,1.5945818327084824
"[8371, 8372, 8472, 8473]","[8549, 8550, 8651, 8652]",Arunachal Pradesh,40.378499999999995,15.33948102,0.1416130625,28.2201688775,95.665512545,0.49697132455283455,156196,455827.0,2.377106286178416
"[33112, 33113, 33220, 33221]","[33796, 33797, 33906, 33907]",Maharashtra,57.9393,36.7746040125,0.16777981,19.965902965,80.255857885,0.5673131211282989,104094,206185.0,2.289420880682029
"[33331, 33332, 33441, 33442]","[34018, 34019, 34129, 34130]",Maharashtra,41.391,39.490804274999995,0.16773389249999998,19.861158995,80.20233981999999,0.4771786483421607,103675,205445.0,1.3957643691690638
"[37328, 37329, 37423, 37424]","[38052, 38053, 38149, 38150]",Chhattisgarh,52.4961,11.82014033325,0.1666835375,17.8406686825,81.0454063875,0.5645655663288248,109940,219420.0,1.6801045155257752
