state,n_plants,avail_100,avail_95,avail_90,energy_pct
Rajasthan,24,82.44292237442923,87.79680365296804,89.68036529680366,94.71741126331811
Assam,10,61.392694063926946,66.33561643835615,71.06164383561644,84.57546082191782
Gujarat,10,87.44292237442922,89.53196347031962,91.0730593607306,95.11527260273972
Jammu & Kashmir,10,86.32420091324201,88.27625570776256,90.85616438356165,95.17866301369861
Tripura,10,74.29223744292237,77.2716894977169,79.48630136986301,86.30733634703198
Arunachal Pradesh,7,66.62100456621005,69.85159817351598,71.64383561643835,79.22024605348987
Kerala,6,85.21689497716895,86.47260273972603,87.54566210045662,93.00760091324202
Andhra Pradesh,5,80.14840182648402,82.07762557077626,83.4931506849315,91.88181333333331
Karnataka,5,82.92237442922374,84.17808219178082,85.31963470319634,92.34457607305936
Chhattisgarh,3,84.71461187214612,85.7648401826484,86.48401826484017,91.21462678843227
Haryana,2,85.11415525114155,85.60502283105022,86.18721461187214,89.56810547945204
Maharashtra,2,87.56849315068493,88.18493150684932,88.5958904109589,91.02053470319635
Telangana,1,88.56164383561645,89.0296803652968,89.34931506849315,91.27279817351598
Uttarakhand,1,85.11415525114155,85.47945205479452,85.83333333333333,88.45653424657533
Madhya Pradesh,1,87.67123287671232,87.88812785388129,88.21917808219179,90.47577168949772
Tamil Nadu,1,89.98858447488584,90.25114155251141,90.52511415525115,92.20986940639268
Meghalaya,1,81.18721461187215,81.52968036529681,81.9634703196347,85.22094520547944
West Bengal,1,80.84474885844749,81.11872146118722,81.39269406392694,84.70282465753425
